Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.84375	10.6875	15.1875	8.625	13.125	18.375	3.84375	6.09375	10.96875	5.8125	9	13.5
-35	3.84375	10.78125	15.09375	8.90625	13.21875	18.65625	3.84375	6.28125	10.875	5.8125	8.90625	14.15625
-30	3.75	10.59375	15	8.625	13.59375	19.125	3.75	6.1875	10.5	6	8.71875	14.90625
-25	3.65625	10.3125	14.90625	8.0625	14.0625	17.0625	3.65625	6.375	9.65625	6	8.25	10.96875
-20	3.65625	10.03125	21.65625	7.6875	19.5	19.5	3.65625	6.46875	9.1875	5.8125	8.0625	11.0625
-15	3.5625	9.75	11.71875	7.6875	11.25	16.59375	3.5625	9.5625	12.75	7.96875	11.15625	16.59375
-10	3.75	9.375	11.8125	7.5	11.34375	16.21875	3.65625	9.375	13.125	7.6875	11.34375	17.4375
-5	4.03125	9.46875	17.15625	7.40625	16.21875	18.375	3.9375	9.28125	13.21875	7.3125	11.625	18.46875
0	4.125	9.75	12	7.5	11.8125	16.21875	4.3125	9.5625	14.25	7.3125	11.8125	19.03125
5	4.125	9.75	17.15625	7.875	16.21875	18.75	4.3125	9.65625	13.40625	7.78125	12	13.59375
10	4.125	9.75	17.4375	7.875	16.5	18.9375	4.21875	9.65625	12.5625	7.59375	12.28125	12.9375
15	4.125	9.9375	13.03125	8.0625	12.1875	19.03125	4.125	9.65625	13.59375	7.40625	12.46875	14.4375
20	4.21875	9.84375	13.21875	8.625	12.28125	19.125	4.21875	9.75	14.625	8.15625	12.46875	16.59375
25	4.3125	9.9375	13.40625	8.53125	12.375	19.125	4.5	9.65625	14.71875	8.25	12.75	17.4375
30	4.3125	10.03125	13.3125	8.8125	12.46875	16.6875	4.40625	9.75	14.71875	8.15625	12.84375	15.09375
35	4.21875	10.125	13.78125	8.71875	12.75	18.84375	4.40625	9.84375	13.96875	8.4375	13.125	14.625
40	4.125	10.125	14.625	8.71875	12.9375	16.3125	4.3125	9.84375	16.21875	8.4375	14.15625	20.25
45	4.125	10.21875	14.25	8.90625	13.125	16.125	4.3125	9.9375	16.125	8.25	14.90625	17.71875
50	4.03125	4.875	8.0625	4.40625	7.5	9.09375	5.15625	9.65625	16.03125	7.5	15.09375	17.4375
55	4.78125	7.78125	10.03125	7.3125	9	13.59375	5.0625	8.25	9.75	7.40625	8.90625	16.78125
60	4.6875	7.6875	10.03125	7.125	8.90625	13.875	4.96875	7.875	9.75	7.3125	8.8125	14.25
65	4.59375	7.5	10.03125	7.125	8.8125	13.875	4.875	7.59375	9.65625	7.125	8.8125	14.0625
70	4.5	10.03125	15.46875	8.90625	13.96875	19.5	4.78125	7.40625	9.75	7.125	8.8125	14.34375
75	4.5	9.9375	15.1875	8.90625	13.96875	19.5	4.78125	9.75	14.8125	9	14.25	17.8125
80	4.21875	6.9375	9.9375	6.5625	9.1875	14.15625	4.40625	18.5625	23.53125	17.90625	20.8125	20.8125
85	4.21875	7.03125	9.84375	6.46875	9.1875	14.25	4.3125	11.90625	11.90625	11.4375	20.71875	20.71875
90	4.21875	7.03125	9.75	6.5625	9.28125	14.4375	4.3125	12.09375	21.375	11.34375	20.25	22.03125
