Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	4.03125	11.0625	15	8.71875	13.6875	19.3125	3.9375	10.96875	14.8125	8.90625	13.59375	18.9375
-35	4.03125	11.0625	14.8125	8.71875	13.59375	19.125	3.9375	10.96875	20.0625	8.71875	18.65625	21.1875
-30	3.9375	10.96875	14.625	8.34375	13.40625	18.84375	3.84375	10.78125	19.96875	8.625	18.5625	20.4375
-25	3.84375	10.78125	14.4375	8.0625	13.3125	18.5625	3.75	10.6875	20.0625	8.53125	18.28125	18.28125
-20	3.84375	10.875	14.25	8.4375	13.40625	18.28125	3.75	10.6875	21.375	8.53125	17.8125	17.8125
-15	3.84375	10.875	14.25	8.71875	14.15625	18.375	3.75	10.6875	21	8.625	17.25	17.25
-10	4.03125	10.875	14.25	8.4375	13.03125	18.28125	3.9375	10.78125	20.90625	8.71875	16.96875	16.96875
-5	4.21875	10.96875	14.0625	8.8125	13.03125	18.28125	4.21875	10.78125	12.75	8.8125	11.90625	17.0625
0	4.21875	10.96875	14.4375	8.90625	12.9375	18.46875	4.3125	10.875	13.03125	9	11.53125	17.0625
5	4.21875	10.78125	14.25	8.90625	13.125	18.5625	4.21875	10.875	13.03125	9	11.15625	17.15625
10	4.125	10.875	14.625	9	13.125	18.65625	4.125	13.21875	19.875	9.1875	17.25	20.15625
15	4.125	10.78125	14.90625	9.375	12.84375	18.84375	4.125	13.21875	19.5	9.375	17.4375	19.78125
20	4.21875	10.59375	14.8125	9.46875	12.75	16.78125	4.125	14.15625	19.40625	9.5625	17.53125	17.53125
25	4.40625	10.5	14.71875	10.3125	11.15625	16.59375	4.21875	14.25	19.5	9.9375	17.90625	22.875
30	4.40625	11.90625	14.625	10.40625	13.03125	16.59375	4.3125	13.59375	19.59375	10.125	17.8125	23.15625
35	4.3125	10.96875	12.9375	10.3125	12.75	16.40625	4.21875	13.5	19.6875	10.5	17.53125	22.875
40	4.3125	17.53125	22.875	16.40625	19.125	19.125	4.21875	13.5	14.4375	10.59375	13.875	16.3125
45	4.3125	9.65625	17.34375	9.5625	16.3125	18.375	4.21875	13.21875	20.4375	10.875	16.5	16.5
50	4.59375	17.25	22.6875	16.21875	18.375	18.375	4.96875	12.75	16.6875	10.875	15.84375	17.71875
55	4.6875	17.0625	22.6875	16.125	18.28125	18.28125	4.96875	12.65625	16.59375	11.15625	15.75	18
60	4.59375	17.0625	22.78125	16.03125	18.375	18.375	4.875	12.65625	16.5	11.25	15.75	18.1875
65	4.5	9.65625	17.0625	9.46875	16.03125	18.46875	4.78125	12.375	16.3125	11.25	15.84375	18.28125
70	4.5	9.75	16.96875	9.375	16.125	18.5625	4.6875	12.375	20.8125	11.4375	18.28125	22.96875
75	4.5	9.84375	16.875	9.1875	16.3125	18.65625	4.6875	12.28125	20.90625	11.34375	18.28125	22.78125
80	4.125	9.65625	22.21875	9.46875	18.9375	22.6875	4.21875	12.1875	21	11.25	18.46875	22.6875
85	4.125	9.84375	23.15625	9.28125	19.125	19.125	4.21875	12.09375	20.8125	11.25	19.40625	22.5
90	4.21875	6.9375	9.75	6.65625	9.1875	14.4375	4.3125	12.09375	21.1875	11.25	20.0625	22.3125
